time,x,y,z,phi,theta,psi,u,v,w,p,q,r,Stern plane (deg) (command),Stern plane (deg) (actual),buoy_x,buoy_y,buoy_z,buoy_phi,buoy_theta,buoy_psi,dock_x,dock_y,dock_z,dock_phi,dock_theta,dock_psi
0.6,2.465999999079145,0.0,49.99996021510798,0.0,7.213219731574467e-05,0.0,4.11,0.0,-9.705174643114789e-05,0.0,0.0005343282198277286,0.0,-0.009262112168915404,-0.001526557662373746,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.62,2.5481999987049955,0.0,49.999952063479405,0.0,8.417301119363115e-05,0.0,4.11,0.0,-0.00011111809858119352,0.0,0.0006020406938943242,0.0,-0.009892606649461887,-0.0016812687525045791,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.64,2.6303999982006343,0.0,49.99994261201169,0.0,9.767738500952142e-05,0.0,4.11,0.0,-0.00012662231089187725,0.0,0.0006752186907945133,0.0,-0.010543220365750762,-0.0018454955104437252,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.66,2.712599997527874,0.0,49.99993170989481,0.0,0.00011275817260754267,0.0,4.11,0.0,-0.00014365179269615848,0.0,0.0007540393799010624,0.0,-0.011213885633894609,-0.002019450007549866,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.68,2.794799996639309,0.0,49.999919195264106,0.0,0.00012953162257938058,0.0,4.11,0.0,-0.0001622954479420585,0.0,0.0008386724985918954,0.0,-0.011904533754941337,-0.002203338720076761,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.7000000000000001,2.876999995476553,0.0,49.999904894893355,0.0,0.00014811722546096293,0.0,4.11,0.0,-0.0001826435716524436,0.0,0.000929280144079118,0.0,-0.012615095007950454,-0.0023973626207740525,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.72,2.95919999396822,0.0,49.999888623902564,0.0,0.0001686375574638657,0.0,4.11,0.0,-0.00020478774746803547,0.0,0.0010260166001451385,0.0,-0.013345498643865502,-0.0026017172685175805,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.74,3.041399992027637,0.0,49.999870185480546,0.0,0.0001912181213939569,0.0,4.11,0.0,-0.00022882074641858113,0.0,0.0011290281965045605,0.0,-0.014095672880172995,-0.002816592896024539,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.76,3.1235999895502546,0.0,49.99984937062261,0.0,0.0002159871853663126,0.0,4.11,0.0,-0.00025483642705417434,0.0,0.0012384531986177857,0.0,-0.014865544896354537,-0.003042174495707508,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.78,3.205799986410737,0.0,49.9998259578835,0.0,0.00024307561988402547,0.0,4.11,0.0,-0.00028292963705647876,0.0,0.0013544217258856432,0.0,-0.015655040830126858,-0.0032786419037204484,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
